名称,群号码,省份,地区,联络人（可留空）,,,,,,,,,,,,,,,,,,,,,,
京阿尼成都同好会,1004390307,四川,成都,,,,,,,,,,,,,,,,,,,,,,,
京阿尼西南京同好会,983654191,江苏,南京,,,,,,,,,,,,,,,,,,,,,,,
京阿尼成都CD同好会,604572571,四川,成都,,,,,,,,,,,,,,,,,,,,,,,
,155944654,湖南,长沙,,,,,,,,,,,,,,,,,,,,,,,
,980601227,上海,上海,,,,,,,,,,,,,,,,,,,,,,,
,991486503,杭州,浙江,,,,,,,,,,,,,,,,,,,,,,,
键程的群,761420941,广东,广州,,,,,,,,,,,,,,,,,,,,,,,
合肥sos团,910529695,安徽,合肥,,,,,,,,,,,,,,,,,,,,,,,
,1048830174,广西,南宁,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
